,Beach Name,Water Temperature,Turbidity,Transducer Depth,Wave Height,Wave Period,Battery Life
1607,Rainbow Beach,18.0,0.56,1.521,0.135,3.0,11.4
7200,Osterman Beach,17.6,5.96,1.358,0.13699999999999998,3.0,11.4
10992,Ohio Street Beach,23.3,31.4,1.8259999999999998,0.17300000000000001,3.0,9.8
1677,Rainbow Beach,15.6,0.79,1.436,0.078,5.0,11.4
3867,Ohio Street Beach,16.2,0.69,1.8319999999999999,0.156,2.0,10.6
3292,Ohio Street Beach,21.5,2.13,1.6219999999999999,0.14,2.0,10.8
6814,63rd Street Beach,14.1,0.8,1.7619999999999998,0.095,3.0,11.3
5060,63rd Street Beach,15.1,0.78,1.7730000000000001,0.11800000000000001,3.0,11.8
4412,Calumet Beach,18.0,2.88,1.3780000000000001,0.107,3.0,12.7
526,Calumet Beach,21.2,1.43,1.4080000000000001,0.172,2.0,11.3
11174,Calumet Beach,24.0,0.64,1.349,0.065,6.0,10.0
6703,63rd Street Beach,17.7,0.82,1.8,0.102,7.0,11.3
476,Montrose Beach,17.0,0.07,1.358,0.141,3.0,11.5
4232,Ohio Street Beach,18.9,1.55,1.574,0.08900000000000001,3.0,10.5
7674,Calumet Beach,18.8,1.58,1.462,0.09699999999999999,7.0,11.3
4703,Rainbow Beach,20.7,0.41,1.6909999999999998,0.21600000000000003,3.0,11.9
9121,Calumet Beach,22.4,0.54,1.463,0.13,3.0,10.9
708,Ohio Street Beach,15.9,4.06,1.723,0.188,4.0,11.7
4731,Osterman Beach,18.2,1.4,1.37,0.24100000000000002,3.0,12.6
11327,Calumet Beach,24.4,0.32,1.4180000000000001,0.175,3.0,9.8
1254,Osterman Beach,16.9,2.82,1.2590000000000001,0.172,2.0,12.0
6605,Montrose Beach,17.3,0.63,1.713,0.11599999999999999,4.0,11.7
9965,Montrose Beach,21.7,8.17,1.656,0.252,6.0,10.9
5181,Ohio Street Beach,19.8,0.9,1.642,0.13,2.0,11.8
4411,Rainbow Beach,20.1,0.52,1.4480000000000002,0.10800000000000001,4.0,12.8
9488,Osterman Beach,22.4,8.44,1.4569999999999999,0.321,4.0,10.8
9782,Ohio Street Beach,23.1,777.76,1.726,0.10300000000000001,3.0,10.5
11557,Montrose Beach,17.4,0.32,1.618,0.095,8.0,9.5
924,Montrose Beach,16.6,6.27,1.475,0.146,4.0,11.2
8414,Montrose Beach,20.2,2.61,1.733,0.10800000000000001,6.0,11.3
5749,Calumet Beach,17.5,1.32,1.5119999999999998,0.121,4.0,11.7
1814,63rd Street Beach,16.0,1.99,1.8219999999999998,0.284,3.0,11.5
656,Montrose Beach,16.3,24.59,1.605,0.324,3.0,11.3
9407,Calumet Beach,23.1,1.02,1.526,0.222,4.0,10.8
8699,Ohio Street Beach,20.4,2.5,1.798,0.07400000000000001,4.0,10.7
11083,Ohio Street Beach,23.5,50.62,1.849,0.113,2.0,9.7
5286,63rd Street Beach,15.8,0.48,1.7919999999999998,0.094,7.0,11.7
4278,Ohio Street Beach,18.3,2.01,1.663,0.152,2.0,10.5
9796,Montrose Beach,23.0,4.8,1.6769999999999998,0.162,3.0,10.9
2148,Calumet Beach,19.6,0.67,1.4409999999999998,0.12300000000000001,2.0,10.8
4225,Osterman Beach,16.9,0.68,1.2770000000000001,0.129,3.0,10.9
393,Calumet Beach,19.7,1.81,1.4140000000000001,0.129,2.0,11.4
4505,63rd Street Beach,15.3,0.52,1.751,0.142,3.0,12.4
10431,Calumet Beach,22.1,0.68,1.494,0.187,4.0,10.5
3580,63rd Street Beach,16.2,0.79,1.74,0.278,5.0,10.8
9706,Ohio Street Beach,22.6,153.14,1.847,0.253,4.0,10.5
9935,Ohio Street Beach,21.5,166.67,1.7990000000000002,0.215,7.0,10.4
11066,Osterman Beach,24.5,2.29,1.446,0.22399999999999998,4.0,10.1
7928,Montrose Beach,18.5,14.11,1.7380000000000002,0.247,3.0,11.3
1241,Calumet Beach,18.3,1.11,1.412,0.182,2.0,10.9
1847,Ohio Street Beach,16.3,1.79,1.8030000000000002,0.18100000000000002,4.0,11.2
76,Montrose Beach,15.0,5.98,1.379,0.26,3.0,11.8
254,Montrose Beach,17.2,0.29,1.308,0.11599999999999999,7.0,11.7
328,Calumet Beach,18.5,1.37,1.3840000000000001,0.235,3.0,11.5
453,Ohio Street Beach,18.7,1.03,1.54,0.147,2.0,12.3
1379,Osterman Beach,18.2,2.52,1.3330000000000002,0.13699999999999998,3.0,11.9
2468,Osterman Beach,17.7,0.61,1.3219999999999998,0.102,2.0,11.5
722,Montrose Beach,15.9,22.89,1.6480000000000001,0.313,3.0,11.3
5202,Ohio Street Beach,21.3,0.8,1.699,0.16,3.0,11.8
2783,Montrose Beach,18.3,2.71,1.682,0.278,4.0,10.8
3429,Osterman Beach,17.6,0.55,1.161,0.10800000000000001,8.0,11.2
10182,Osterman Beach,21.9,12.01,1.3880000000000001,0.228,4.0,10.6
10990,Montrose Beach,23.3,0.32,1.736,0.201,3.0,10.4
4628,Montrose Beach,17.9,0.23,1.6030000000000002,0.192,4.0,13.1
9712,Montrose Beach,24.7,9.23,1.68,0.221,3.0,10.9
9884,Osterman Beach,21.9,10.06,1.4569999999999999,0.377,6.0,10.7
728,Montrose Beach,15.8,21.3,1.599,0.336,3.0,11.3
11137,Montrose Beach,22.1,0.2,1.7819999999999998,0.08900000000000001,3.0,10.2
9470,Calumet Beach,22.5,2.37,1.454,0.215,3.0,10.8
6348,Rainbow Beach,20.4,0.96,1.611,0.08900000000000001,4.0,11.3
686,Montrose Beach,16.1,24.22,1.569,0.262,3.0,11.3
9672,Ohio Street Beach,23.7,116.01,1.78,0.20600000000000002,3.0,10.5
8688,Osterman Beach,20.7,1.44,1.3980000000000001,0.11,6.0,11.0
4641,Osterman Beach,17.9,1.0,1.456,0.157,3.0,12.6
8866,Calumet Beach,21.6,0.94,1.459,0.05,6.0,10.9
10808,Ohio Street Beach,22.7,17.68,1.7819999999999998,0.095,2.0,10.0
1690,Rainbow Beach,15.5,0.86,1.4469999999999998,0.095,5.0,11.4
3073,Ohio Street Beach,19.1,0.72,1.736,0.129,2.0,10.8
5844,Ohio Street Beach,19.3,0.93,1.7180000000000002,0.184,5.0,11.5
4662,Calumet Beach,20.0,0.85,1.486,0.113,2.0,12.4
4355,Osterman Beach,15.3,0.51,1.27,0.115,7.0,10.9
10307,Osterman Beach,22.4,2.87,1.3319999999999999,0.161,2.0,10.6
1083,Rainbow Beach,16.8,1.31,1.483,0.128,3.0,11.7
10959,Osterman Beach,23.9,0.26,1.452,0.177,2.0,10.2
2989,Ohio Street Beach,21.6,0.69,1.7830000000000001,0.152,3.0,10.8
10548,Montrose Beach,21.8,2.61,1.729,0.132,3.0,10.7
2322,Montrose Beach,17.7,0.35,1.5859999999999999,0.175,2.0,10.9
11217,Ohio Street Beach,24.3,3.19,1.8030000000000002,0.18,3.0,9.5
850,Osterman Beach,16.1,7.55,1.2,0.125,4.0,12.5
990,Montrose Beach,15.1,2.55,1.5730000000000002,0.185,3.0,11.2
9208,Calumet Beach,22.7,0.67,1.483,0.127,2.0,10.9
6698,Rainbow Beach,18.5,0.68,1.5319999999999998,0.067,9.0,11.2
9747,Calumet Beach,23.6,0.77,1.442,0.16,4.0,10.7
1791,Montrose Beach,16.6,3.7,1.656,0.299,3.0,11.0
1423,Rainbow Beach,16.4,0.69,1.4809999999999999,0.087,5.0,11.5
7406,Calumet Beach,17.5,1.65,1.327,0.052000000000000005,7.0,11.3
8159,Osterman Beach,19.8,9.22,1.379,0.145,7.0,11.2
8305,Osterman Beach,19.3,2.77,1.338,0.08800000000000001,7.0,11.1
10342,Osterman Beach,22.2,2.65,1.3730000000000002,0.095,9.0,10.6
5078,Montrose Beach,13.5,0.84,1.651,0.11599999999999999,8.0,12.3
9361,Montrose Beach,21.7,1.72,1.766,0.294,3.0,11.0
1853,Ohio Street Beach,16.9,1.64,1.6969999999999998,0.155,3.0,11.2
512,Montrose Beach,16.8,0.18,1.3330000000000002,0.14400000000000002,5.0,11.5
7827,Ohio Street Beach,18.6,13.78,1.875,0.32799999999999996,8.0,10.9
4092,Rainbow Beach,17.3,0.81,1.545,0.133,3.0,9.8
10759,Calumet Beach,23.4,1.5,1.3559999999999999,0.102,2.0,10.3
1255,Ohio Street Beach,16.5,1.79,1.675,0.115,2.0,11.4
139,Montrose Beach,16.2,3.07,1.421,0.145,3.0,11.8
3033,Calumet Beach,21.1,0.94,1.5190000000000001,0.1,4.0,10.6
2912,Ohio Street Beach,19.0,0.92,1.757,0.136,4.0,10.8
6090,Montrose Beach,16.7,0.69,1.7209999999999999,0.092,7.0,11.8
9817,Osterman Beach,22.4,3.04,1.392,0.271,4.0,10.7
10779,Calumet Beach,22.9,0.52,1.4869999999999999,0.07200000000000001,7.0,10.3
757,Calumet Beach,17.5,3.85,1.4469999999999998,0.27399999999999997,5.0,11.1
6423,Osterman Beach,20.1,0.45,1.389,0.172,2.0,11.6
1795,Calumet Beach,18.6,1.59,1.5959999999999999,0.171,3.0,10.9
5398,Ohio Street Beach,16.3,1.02,1.681,0.084,3.0,11.7
6285,Montrose Beach,20.2,0.95,1.7380000000000002,0.125,7.0,11.8
1217,63rd Street Beach,17.6,0.91,1.656,0.17300000000000001,2.0,11.8
2547,Ohio Street Beach,19.4,3.56,1.639,0.126,3.0,11.0
2037,63rd Street Beach,18.1,0.63,1.801,0.198,3.0,11.4
5351,Calumet Beach,17.9,1.29,1.4409999999999998,0.14,3.0,11.7
7810,Osterman Beach,17.6,36.55,1.507,0.43799999999999994,8.0,11.3
5036,Rainbow Beach,13.3,1.08,1.5190000000000001,0.09300000000000001,8.0,11.6
2859,Rainbow Beach,20.5,2.1,1.597,0.22699999999999998,4.0,11.0
9392,Montrose Beach,22.8,2.47,1.766,0.32799999999999996,3.0,11.0
10609,Osterman Beach,22.2,0.94,1.396,0.09,6.0,10.4
1019,63rd Street Beach,17.4,1.14,1.662,0.14800000000000002,3.0,11.9
4491,Rainbow Beach,16.3,0.72,1.5219999999999998,0.2,3.0,12.2
10528,Montrose Beach,22.3,3.35,1.709,0.145,4.0,10.7
4473,Montrose Beach,16.8,0.19,1.544,0.15,3.0,10.1
10788,Montrose Beach,23.8,1.13,1.791,0.239,3.0,10.4
3063,Calumet Beach,21.1,1.16,1.5419999999999998,0.109,2.0,10.6
9204,Calumet Beach,23.0,0.47,1.489,0.151,3.0,10.9
6360,Rainbow Beach,20.1,0.83,1.598,0.085,7.0,11.3
11516,Montrose Beach,18.6,0.45,1.6469999999999998,0.10400000000000001,4.0,9.6
4735,63rd Street Beach,20.7,0.27,1.8130000000000002,0.23800000000000002,3.0,12.0
3841,63rd Street Beach,18.9,1.95,1.795,0.196,4.0,10.8
4827,Ohio Street Beach,19.9,0.53,1.798,0.20199999999999999,3.0,12.1
8086,Ohio Street Beach,20.1,3.73,1.755,0.157,3.0,10.9
11230,Calumet Beach,24.8,0.27,1.37,0.126,3.0,9.9
2084,Montrose Beach,17.1,1.09,1.7109999999999999,0.23600000000000002,4.0,11.0
8070,Montrose Beach,18.4,9.85,1.669,0.19,3.0,11.3
1622,Osterman Beach,17.5,0.77,1.206,0.13,4.0,11.8
1014,Montrose Beach,16.3,2.42,1.58,0.18100000000000002,3.0,11.2
5883,Rainbow Beach,19.2,2.43,1.5719999999999998,0.214,5.0,11.4
7167,Calumet Beach,18.1,7.11,1.57,0.19,4.0,11.4
9276,Montrose Beach,22.1,2.19,1.766,0.18600000000000003,3.0,11.0
6756,Calumet Beach,19.5,1.16,1.386,0.08800000000000001,2.0,11.5
8552,Calumet Beach,21.3,1.09,1.49,0.149,2.0,11.0
5501,Rainbow Beach,18.6,0.48,1.527,0.185,2.0,11.5
10032,Calumet Beach,21.8,1.61,1.4909999999999999,0.212,3.0,10.6
2701,Ohio Street Beach,19.6,2.1,1.742,0.255,4.0,10.9
10210,Montrose Beach,21.8,5.75,1.722,0.16399999999999998,4.0,10.8
5816,Calumet Beach,19.4,1.09,1.486,0.15,3.0,11.7
322,Calumet Beach,19.0,0.77,1.375,0.128,2.0,11.5
9610,Montrose Beach,23.3,14.43,1.735,0.34600000000000003,4.0,11.0
